time, temperature, dwpf, humidity, direction, speed, precipitation, pressure,total count,arrest rate,sex offense,theft,assault and battery,burglary,robbery,substance,homicide,gambling,prostitution,arson,domestic violence,others
6/27/01,79.25,59.875,53.23916667,148.3333333,5.458333333,0,29.585,2,2,2,1,2,1,1,2,2,2,2,2,1,1
6/28/01,78.79166667,62.08333333,58.07458333,137.9166667,4.833333333,0,29.50083333,2,2,1,2,2,1,1,1,1,2,2,1,1,1
6/29/01,80.08333333,63.20833333,57.87916667,227.9166667,6.958333333,0,29.3675,2,1,1,2,2,2,2,1,2,1,2,2,1,2
6/30/01,83.68421053,64,52.63842105,249.4736842,9.368421053,0,29.28473684,2,1,2,1,2,1,2,1,2,2,1,2,1,1
7/1/01,66.54545455,52.5,60.90090909,92.72727273,12.77272727,0,29.43,2,1,2,2,2,2,2,1,1,1,1,1,1,2
7/2/01,65.08333333,41.16666667,42.8225,110.4166667,8.375,0,29.56333333,2,1,1,2,1,1,2,1,2,2,2,2,1,2
7/3/01,71.16666667,61.20833333,71.725,232.5,9.166666667,0.15,29.37625,1,1,1,2,2,1,2,2,1,1,2,1,1,2
7/4/01,78.45833333,59.91666667,58.57833333,267.0833333,8.625,0,29.27625,2,1,1,1,2,2,2,1,2,1,1,1,1,2
7/5/01,67.45833333,49.20833333,52.38416667,128.3333333,9.083333333,0,29.37375,2,1,1,2,2,2,2,2,2,2,1,1,1,2
7/6/01,68.58333333,47.25,47.665,188.3333333,7.25,0,29.425,2,1,2,2,2,1,1,1,1,1,2,1,1,2
7/7/01,77.75,67.75,72.15291667,204.1666667,8.708333333,0.0625,29.20208333,2,1,1,2,2,1,2,1,1,1,1,2,1,2
7/8/01,79.79166667,62.08333333,58.15625,126.25,4.833333333,0,29.23416667,2,1,1,1,2,1,1,1,2,2,1,1,1,1
7/9/01,80.75,67.83333333,67.74791667,97.91666667,4.958333333,0,29.21583333,2,1,1,2,2,1,1,1,2,2,1,2,1,2
7/10/01,81.29166667,62.375,55.39333333,171.6666667,7.833333333,0,29.17833333,2,1,1,2,2,1,2,1,2,2,2,1,1,2
7/11/01,71.5,50.70833333,48.06958333,57.91666667,9.416666667,0,29.33166667,2,2,1,2,2,1,2,2,1,2,1,1,1,2
7/12/01,72.29166667,52.41666667,50.635,97.5,5.958333333,0,29.40333333,2,2,2,2,2,1,1,2,1,2,2,2,1,1
7/13/01,72.16666667,49.83333333,47.4725,80,6.666666667,0,29.4575,2,1,1,2,2,2,2,1,2,2,2,1,1,2
7/14/01,75.83333333,49,40.46041667,205.8333333,7.291666667,0,29.39416667,2,1,1,2,2,1,2,1,1,2,1,1,1,1
7/15/01,78.66666667,54.33333333,44.24416667,131.6666667,3.958333333,0,29.35083333,2,1,1,1,2,2,2,2,1,1,2,1,1,2
